ibnr;ld;dst;kz;name;length;namel;dstabk;gonr;goabk;gdenr;gemeinde;kt;bp;vp;vg;vd;ycoord;xcoord;height;karte1;karte2
8503012;85;3012;2;Zürich Herdern Abstellgruppe;28;;ZHER;11;SBB;261;Zürich;ZH;*;*;;;680'240;249'420;401;▲;▲
8515495;85;15495;5;Zürich Hottingen (Spw);22;;ZHOT;11;SBB;261;Zürich;ZH;*;;;;684'840;246'967;398;▲;▲
8503000;85;3000;7;Zürich HB;9;;ZUE;11;SBB;261;Zürich;ZH;*;*;;*;683'188;248'066;408;▲;▲
8515298;85;15298;3;Zürich HB Cargo GV;18;;ZGV;11;SBB;261;Zürich;ZH;*;;;;681'248;248'771;404;▲;▲
8503076;85;3076;7;Zürich HB CT Anvers;19;;ZUCA;11;SBB;261;Zürich;ZH;*;*;;;0;0;000;▲;▲
8503079;85;3079;1;Zürich HB CT Milano;19;;ZUCM;11;SBB;261;Zürich;ZH;*;*;;;0;0;000;▲;▲
8516144;85;16144;8;Zürich HB Löwenstrasse;22;;ZLOE;11;SBB;261;Zürich;ZH;*;;;;683'106;248'024;392;▲;▲
8515163;85;15163;9;Zürich HB Museumstrasse;23;;ZMUS;11;SBB;261;Zürich;ZH;*;;;;683'226;248'092;394;▲;▲
8515164;85;15164;7;Zürich HB Nord;14;;ZUN;11;SBB;261;Zürich;ZH;*;;;;681'915;248'735;405;▲;▲
8503088;85;3088;2;Zürich HB SZU;13;;ZUSZ;78;SZU;261;Zürich;ZH;*;*;;;683'112;247'982;396;▲;▲
8518396;85;18396;2;Zürich HB SZU Süd (Spw);23;;ZUSS;78;SZU;261;Zürich;ZH;*;;;;682'843;247'880;397;▲;▲
8503019;85;3019;7;Zürich Industrie;16;;ZIND;11;SBB;261;Zürich;ZH;*;*;*;;681'048;249'147;402;▲;▲
8503024;85;3024;7;Zürich Kollerwiese (Spw);24;;ZKOL;11;SBB;261;Zürich;ZH;*;;;;681'603;246'700;391;▲;▲
8530813;85;30813;0;Zürich Kreuzplatz;17;;ZUEK;46;FB;261;Zürich;ZH;*;*;;;684'258;246'602;424;▲;▲
8503446;85;3446;2;Zürich Landesmuseum (See);25;;;194;ZSG;261;Zürich;ZH;*;*;;;683'302;248'142;480;▲;▲
8503047;85;3047;8;Zürich Langstrasse;18;;ZLST;11;SBB;261;Zürich;ZH;*;;;;682'329;248'397;409;▲;▲
8503094;85;3094;0;Zürich Leimbach;15;;ZLE;78;SZU;261;Zürich;ZH;*;*;;*;681'700;243'200;435;▲;▲
8591061;85;91061;2;Zürich Leimbach, Bahnhof;24;;;849;VBZ;261;Zürich;ZH;*;*;;;681'626;243'049;436;▲;▲
8503002;85;3002;3;Zürich Letten;13;;ZLET;11;SBB;261;Zürich;ZH;*;;;;682'655;249'068;408;▲;▲
8515493;85;15493;0;Zürich Lettentunnel Ende;24;;ZLEE;11;SBB;261;Zürich;ZH;*;;;;683'787;246'907;411;▲;▲
8530822;85;30822;1;Zürich Limmatquai;17;;;194;ZSG;261;Zürich;ZH;*;*;;;683'380;247'519;408;▲;▲
8516199;85;16199;2;Zürich Limmatquai Verl. Km-Axe;30;;ZULQ;11;SBB;261;Zürich;ZH;*;;;;683'282;248'030;408;▲;▲
8515627;85;15627;3;Zürich Lochergut (Abzw);23;;ZLOG;11;SBB;261;Zürich;ZH;*;;;;681'562;247'878;405;▲;▲
8503093;85;3093;2;Zürich Manegg;13;;ZMA;78;SZU;261;Zürich;ZH;*;*;;*;681'700;243'620;431;▲;▲
8503039;85;3039;5;Zürich Mülligen;15;;ZMUE;11;SBB;261;Zürich;ZH;*;*;*;;677'890;250'043;395;▲;▲
8503017;85;3017;1;Zürich Mülligen CDS;19;;ZMUC;11;SBB;261;Zürich;ZH;*;*;;;678'392;249'742;396;▲;▲
8503006;85;3006;4;Zürich Oerlikon;15;;ZOER;11;SBB;261;Zürich;ZH;*;*;*;*;683'432;251'778;442;▲;▲
8515494;85;15494;8;Zürich Oerlikon Nord (Abzw);27;;ZOEN;11;SBB;261;Zürich;ZH;*;;;;683'797;252'255;439;▲;▲
8516145;85;16145;5;Zürich Oerlikon Süd (Abzw);26;;ZOES;11;SBB;261;Zürich;ZH;*;;;;682'894;251'223;440;▲;▲
8580449;85;80449;2;Zürich Oerlikon, Bahnhof;24;;;849;VBZ;261;Zürich;ZH;*;*;;;683'483;251'775;408;▲;▲
8519489;85;19489;4;Zürich Oerlikon, Bahnhof (Vzw);30;;;849;VBZ;261;Zürich;ZH;*;;;;683'446;251'749;441;▲;▲
8591062;85;91062;0;Zürich Oerlikon, Bahnhof Nord;29;;;849;VBZ;261;Zürich;ZH;*;*;;;683'417;251'875;441;▲;▲
8591063;85;91063;8;Zürich Oerlikon, Bahnhof Ost;28;;;849;VBZ;261;Zürich;ZH;*;*;;;683'560;251'981;438;▲;▲
8519490;85;19490;2;Zürich Oerlikon, Bf Ost (Vzw);29;;;849;VBZ;261;Zürich;ZH;*;;;;683'590;251'938;438;▲;▲
8503500;85;3500;6;Zürich Polyterrasse;19;;;165;PBZ;261;Zürich;ZH;*;*;;*;683'659;247'926;446;▲;▲
8503069;85;3069;2;Zürich Rehalp;13;;ZUER;46;FB;261;Zürich;ZH;*;*;;;686'480;245'093;524;▲;▲
8503507;85;3507;1;Zürich RB Limmattal;19;;RBL;11;SBB;4040;Spreitenbach;AG;*;*;*;;670'828;252'872;394;▲;▲
8503546;85;3546;9;Zürich RB Limmattal Depot/Bau;29;;RBLP;11;SBB;4040;Spreitenbach;AG;*;*;*;;671'987;252'009;390;▲;▲
8503087;85;3087;4;Zürich Saalsporthalle;21;;ZSAA;78;SZU;261;Zürich;ZH;*;*;;*;681'857;245'738;420;▲;▲
8503053;85;3053;6;Zürich Schweighof;17;;SHF;78;SZU;261;Zürich;ZH;*;*;;*;680'403;246'561;459;▲;▲
8503007;85;3007;2;Zürich Seebach;14;;ZSEB;11;SBB;261;Zürich;ZH;*;*;*;*;683'460;252'581;442;▲;▲
8515496;85;15496;3;Zürich Seebach Ost (Abzw);25;;ZSEO;11;SBB;261;Zürich;ZH;*;;;;683'665;252'595;442;▲;▲
8530472;85;30472;5;Zürich Seilbahn Rigiblick;25;;;849;VBZ;261;Zürich;ZH;*;;;;683'835;248'932;490;▲;▲
8503090;85;3090;8;Zürich Selnau;13;;ZSEL;78;SZU;261;Zürich;ZH;*;*;;*;682'580;247'475;414;▲;▲
8519109;85;19109;8;Zürich Selnau KM-Sprung;23;;ZSKM;78;SZU;261;Zürich;ZH;*;;;;682'522;247'230;398;▲;▲
8591064;85;91064;6;Zürich Selnau, Bahnhof;22;;;849;VBZ;261;Zürich;ZH;*;*;;;682'582;247'223;413;▲;▲
8503003;85;3003;1;Zürich Stadelhofen;18;;ZSTH;11;SBB;261;Zürich;ZH;*;*;;*;683'831;246'789;411;▲;▲
8503059;85;3059;3;Zürich Stadelhofen FB;21;;ZSTF;46;FB;261;Zürich;ZH;*;*;;;683'806;246'760;411;▲;▲
8503447;85;3447;0;Zürich Storchen;15;;;194;ZSG;261;Zürich;ZH;*;*;;;683'333;247'273;406;▲;▲
8503004;85;3004;9;Zürich Tiefenbrunnen;20;;ZTB;11;SBB;261;Zürich;ZH;*;*;*;*;684'832;244'970;408;▲;▲
8576182;85;76182;5;Zürich Tiefenbrunnen, Bahnhof;29;;;849;VBZ;261;Zürich;ZH;*;*;;;684'803;245'002;408;▲;▲
8519492;85;19492;8;Zürich Tiefenbrunnen, Bf (Wds);30;;;849;VBZ;261;Zürich;ZH;*;;;;684'741;245'077;409;▲;▲
8503054;85;3054;4;Zürich Triemli;14;;TRLI;78;SZU;261;Zürich;ZH;*;*;;*;679'810;246'554;485;▲;▲
8515179;85;15179;5;Zürich Viadukt (Abzw);21;;ZVIA;11;SBB;261;Zürich;ZH;*;;;;681'708;248'758;416;▲;▲
8503025;85;3025;4;Zürich Vorbahnhof;17;;ZVB;11;SBB;261;Zürich;ZH;*;*;*;;681'364;248'735;405;▲;▲
8515773;85;15773;5;Zürich Vorbahnhof (Df);22;;ZVDF;11;SBB;261;Zürich;ZH;*;;;;681'364;248'735;405;▲;▲
8518926;85;18926;6;Zürich Vorbahnhof Feld M;24;;ZVBM;11;SBB;261;Zürich;ZH;*;;;;681'889;248'554;407;▲;▲
8515760;85;15760;2;Zürich Vorbahnhof Nord;22;;ZVBN;11;SBB;261;Zürich;ZH;*;;;;681'597;248'688;405;▲;▲
8515761;85;15761;0;Zürich Vorbahnhof Ost;21;;ZVBO;11;SBB;261;Zürich;ZH;*;;;;681'698;248'582;404;▲;▲
8516681;85;16681;9;Zürich Vorbahnhof Stellwerk;27;;ZVBF;11;SBB;261;Zürich;ZH;*;;;;682'327;248'456;406;▲;▲
8518925;85;18925;8;Zürich Vorbahnhof Süd;21;;ZVBS;11;SBB;261;Zürich;ZH;*;*;*;;681'651;248'592;406;▲;▲
8503026;85;3026;2;Zürich Vorbahnhof West;22;;ZVBW;11;SBB;261;Zürich;ZH;*;;;;680'603;249'104;402;▲;▲
8519595;85;19595;8;Zürich Wehntalerstrasse (Spw);29;;ZWEH;11;SBB;261;Zürich;ZH;*;;;;682'777;250'773;442;▲;▲
8503011;85;3011;4;Zürich Wiedikon;15;;ZWIE;11;SBB;261;Zürich;ZH;*;*;;*;681'935;247'303;405;▲;▲
8503045;85;3045;2;Zürich Wiedikon Transit;23;;;11;SBB;261;Zürich;ZH;*;*;;;681'935;247'303;405;▲;▲
8573710;85;73710;6;Zürich Wiedikon, Bahnhof;24;;;849;VBZ;261;Zürich;ZH;*;*;;;681'990;247'299;405;▲;▲
8519493;85;19493;6;Zürich Wiedikon, Bf (Vzw Baum);30;;;849;VBZ;261;Zürich;ZH;*;;;;682'011;247'295;412;▲;▲
8519494;85;19494;4;Zürich Wiedikon, Bf (Vzw Frey);30;;;849;VBZ;261;Zürich;ZH;*;;;;682'034;247'308;412;▲;▲
8503015;85;3015;5;Zürich Wipkingen;16;;ZWIP;11;SBB;261;Zürich;ZH;*;*;;*;682'347;249'706;425;▲;▲
8591066;85;91066;1;Zürich Wipkingen, Bahnhof;25;;;849;VBZ;261;Zürich;ZH;*;*;;;682'359;249'752;431;▲;▲
8503009;85;3009;8;Zürich Wollishofen;18;;ZWOL;11;SBB;261;Zürich;ZH;*;*;;*;682'737;244'642;409;▲;▲
